Time, Temperature 
0, 28.7
5.4555, 28.8
7.8074, 28.9
9.3275, 29.0
11.6951, 29.1
13.1515, 29.2
14.8795, 29.3
17.2635, 29.4
18.6874, 29.5
20.3676, 29.6
22.0318, 29.7
23.6957, 29.8
25.6159, 29.9
27.0554, 30.0
29.1357, 30.1
31.0397, 30.2
32.6714, 30.3
35.3279, 30.4
36.1274, 30.5
37.6155, 30.6
39.3911, 30.7
41.2798, 30.8
43.3114, 30.9
44.3351, 31.0
46.5757, 31.1
47.7274, 31.2
49.8236, 31.3
51.5196, 31.4
52.5114, 31.5
54.5754, 31.6
56.0315, 31.7
58.3997, 31.8
59.6635, 31.9
60.6232, 32.0
61.5673, 32.1
63.5995, 32.2
65.2795, 32.3
66.7195, 32.4
67.5193, 32.5
68.8478, 32.6
70.9759, 32.7
72.6558, 32.8
73.968, 32.9
75.0077, 33.0
76.7037, 33.1
78.144, 33.2
79.312, 33.3
81.7599, 33.4
82.5278, 33.5
84.5922, 33.6
85.7761, 33.7
87.1842, 33.8
88.6246, 33.9
89.7922, 34.0
91.9683, 34.1
93.4401, 34.2
94.7363, 34.3
96.2239, 34.4
97.0561, 34.5
98.8325, 34.6
100.2402, 34.7
101.7923, 34.8
104.8001, 34.9
105.7764, 35.0
107.1677, 35.1
108.3684, 35.2
110.2725, 35.3
111.2483, 35.4
111.9525, 35.5
113.3286, 35.6
114.5446, 35.7
116.4329, 35.8
117.6487, 35.9
118.6882, 36.0
120.2564, 36.1
121.9206, 36.2
123.1522, 36.3
124.5926, 36.4
125.2002, 36.5
126.6406, 36.6
128.3525, 36.7
130.4964, 36.8
132.9445, 36.9
133.9682, 37.0
135.2327, 37.1
136.1124, 37.2
137.8566, 37.3
139.8244, 37.4
140.6886, 37.5
142.6087, 37.6
144.593, 37.7
146.2244, 37.8
147.4086, 37.9
148.3364, 38.0
150.9126, 38.1
152.6083, 38.2
154.0487, 38.3
155.2327, 38.4
156.1289, 38.5
156.8966, 38.6
158.7847, 38.7
160.2248, 38.8
161.2948, 38.9
162.1444, 39.0
163.5528, 39.1
165.2809, 39.2
166.4009, 39.3
167.4566, 39.4
168.6088, 39.5
169.7608, 39.6
172.5753, 39.7
173.969, 39.8
177.649, 39.9
178.8809, 40.0
181.5694, 40.1
184.4813, 40.2
186.1449, 40.3
187.6301, 40.4
188.6541, 40.5
189.5851, 40.6
191.1532, 40.7
191.9209, 40.8
193.3774, 40.9
194.4144, 41.0
195.7929, 41.1
197.0091, 41.2
198.545, 41.3
199.6169, 41.4
200.6706, 41.5
202.8014, 41.6
205.0095, 41.7
206.1292, 41.8
207.4575, 41.9
208.1608, 42.0
211.6333, 42.1
213.5209, 42.2
214.7531, 42.3
215.6173, 42.4
217.3455, 42.5
218.9773, 42.6
222.4169, 42.7
225.2498, 42.8
226.3674, 42.9
229.0251, 43.0
230.9137, 43.1
231.8411, 43.2
233.0097, 43.3
233.6014, 43.4
234.7379, 43.5
236.0338, 43.6
236.8809, 43.7
237.9537, 43.8
238.753, 43.9
240.6421, 44.0
242.0497, 44.1
243.4901, 44.2
244.8819, 44.3
245.9055, 44.4
247.7774, 44.5
249.4413, 44.6
251.2334, 44.7
252.5184, 44.8
254.1772, 44.9
256.3536, 45.0
258.4975, 45.1
259.9055, 45.2
262.5194, 45.3
263.6496, 45.4
265.3619, 45.5
266.8179, 45.6
273.3939, 45.7
275.394, 45.8
276.658, 45.9
278.4659, 46.0
280.8499, 46.1
282.2738, 46.2
284.4017, 46.3
285.3937, 46.4
287.0099, 46.5
288.0641, 46.6
289.1698, 46.7
292.6742, 46.8
293.5536, 46.9
296.1139, 47.0
298.0501, 47.1
299.1547, 47.2
301.5863, 47.3
302.1619, 47.4
303.3303, 47.5
305.6026, 47.6
308.1465, 47.7
310.5943, 47.8
311.6182, 47.9
313.6186, 48.0
314.9622, 48.1
316.9782, 48.2
320.7066, 48.3
321.1861, 48.4
322.3385, 48.5
323.3299, 48.6
324.0503, 48.7
325.4746, 48.8
325.9864, 48.9
326.6901, 49.0
327.7784, 49.1
328.5627, 49.2
329.1543, 49.3
329.7144, 49.4
331.0747, 49.5
331.9705, 49.6
332.9306, 49.7
334.0667, 49.8
335.5389, 49.9
337.9874, 50.0
339.3951, 50.1
342.0189, 50.2
342.8827, 50.3
346.2906, 50.4
348.7227, 50.5
