Time, Temperature 
0, 67.0
4.0639, 66.9
4.7197, 66.8
6.4957, 66.7
7.3277, 66.6
8.5758, 66.5
9.3118, 66.4
10.1572, 66.3
10.896, 66.2
11.8403, 66.1
12.688, 66.0
13.3594, 65.9
14.0474, 65.8
15.2472, 65.7
17.2797, 65.6
19.1677, 65.5
19.9193, 65.4
20.9279, 65.3
22.8321, 65.2
25.0078, 65.1
26.7679, 65.0
27.712, 64.9
30.768, 64.8
32.96, 64.7
34.6401, 64.6
37.2157, 64.5
37.7756, 64.4
38.8125, 64.3
41.4397, 64.2
43.4077, 64.1
44.7677, 64.0
45.872, 63.9
46.8638, 63.8
48.0961, 63.7
48.992, 63.6
50.8641, 63.5
52.4002, 63.4
53.7917, 63.3
55.2319, 63.2
56.4803, 63.1
58.2918, 63.0
59.0075, 62.9
60.2881, 62.8
61.1198, 62.7
62.6243, 62.6
65.2004, 62.5
66.1762, 62.4
67.5364, 62.3
68.9284, 62.2
70.3845, 62.1
71.6646, 62.0
72.4644, 61.9
73.9364, 61.8
75.0242, 61.7
75.904, 61.6
76.8483, 61.5
77.8085, 61.4
78.4486, 61.3
79.8406, 61.2
80.9767, 61.1
81.9686, 61.0
83.4087, 60.9
84.3045, 60.8
85.568, 60.7
87.0406, 60.6
88.8967, 60.5
90.9765, 60.4
95.6647, 60.3
98.1608, 60.2
100.9285, 60.1
101.4566, 60.0
103.2489, 59.9
107.3605, 59.8
108.3686, 59.7
109.3125, 59.6
111.2165, 59.5
112.2406, 59.4
113.4244, 59.3
116.8811, 59.2
118.945, 59.1
119.9367, 59.0
122.0011, 58.9
123.4411, 58.8
124.209, 58.7
125.7764, 58.6
128.7532, 58.5
132.065, 58.4
134.257, 58.3
135.7927, 58.2
136.9287, 58.1
138.2408, 58.0
139.0408, 57.9
140.1125, 57.8
141.3929, 57.7
142.7686, 57.6
144.113, 57.5
145.0568, 57.4
146.6246, 57.3
148.5447, 57.2
150.2408, 57.1
152.001, 57.0
152.5765, 56.9
154.337, 56.8
155.489, 56.7
156.7531, 56.6
157.7288, 56.5
158.7051, 56.4
159.5051, 56.3
161.0248, 56.2
162.9931, 56.1
164.4326, 56.0
165.7607, 55.9
166.2889, 55.8
167.4568, 55.7
169.9854, 55.6
174.4172, 55.5
179.5853, 55.4
180.8013, 55.3
181.4733, 55.2
182.8014, 55.1
184.5773, 55.0
186.9936, 54.9
187.6659, 54.8
189.7778, 54.7
192.8656, 54.6
197.4892, 54.5
198.4816, 54.4
199.2813, 54.3
199.9216, 54.2
200.8501, 54.1
202.0817, 54.0
204.7857, 53.9
205.6978, 53.8
209.5856, 53.7
212.6897, 53.6
215.5698, 53.5
217.7458, 53.4
219.4098, 53.3
221.2978, 53.2
222.0817, 53.1
224.4501, 53.0
226.6416, 52.9
228.8336, 52.8
229.9857, 52.7
231.042, 52.6
232.6739, 52.5
235.8742, 52.4
237.6981, 52.3
239.906, 52.2
243.9861, 52.1
245.9062, 52.0
246.9464, 51.9
249.6503, 51.8
251.0582, 51.7
252.3383, 51.6
254.6903, 51.5
257.1061, 51.4
259.0901, 51.3
259.7462, 51.2
261.6981, 51.1
263.5676, 51.0
268.2261, 50.9
270.9785, 50.8
272.6264, 50.7
273.8586, 50.6
274.7221, 50.5
276.1147, 50.4
277.8744, 50.3
280.2422, 50.2
282.7065, 50.1
289.4264, 50.0
294.1623, 49.9
295.2821, 49.8
299.0744, 49.7
301.3305, 49.6
304.8345, 49.5
306.6422, 49.4
308.0502, 49.3
311.1543, 49.2
313.4079, 49.1
315.0906, 49.0
317.0904, 48.9
319.0745, 48.8
323.4267, 48.7
325.9706, 48.6
328.8668, 48.5
330.9304, 48.4
333.091, 48.3
334.4988, 48.2
336.8667, 48.1
340.0163, 48.0
341.2825, 47.9
343.8586, 47.8
346.7712, 47.7
349.619, 47.6
352.2591, 47.5
354.035, 47.4
359.4593, 47.3
362.6594, 47.2
366.6752, 47.1
369.4908, 47.0
370.9312, 46.9
371.6513, 46.8
372.7073, 46.7
374.5953, 46.6
380.755, 46.5
382.531, 46.4
388.4993, 46.3
391.2675, 46.2
397.3313, 46.1
400.2276, 46.0
404.3554, 45.9
409.0439, 45.8
413.7793, 45.7
416.8036, 45.6
418.964, 45.5
421.4119, 45.4
424.2915, 45.3
427.3639, 45.2
429.6517, 45.1
433.5718, 45.0
434.2599, 44.9
436.0991, 44.8
442.2435, 44.7
445.9237, 44.6
450.8678, 44.5
453.8597, 44.4
454.404, 44.3
456.8041, 44.2
458.8518, 44.1
464.26, 44.0
465.2845, 43.9
466.596, 43.8
471.5244, 43.7
473.3805, 43.6
475.6525, 43.5
479.0121, 43.4
482.3242, 43.3
485.7964, 43.2
491.5244, 43.1
495.5565, 43.0
502.1164, 42.9
506.5006, 42.8
506.9649, 42.7
509.3008, 42.6
512.3567, 42.5
517.141, 42.4
518.0209, 42.3
524.3568, 42.2
529.781, 42.1
536.9171, 42.0
541.6054, 41.9
542.3724, 41.8
547.1092, 41.7
550.9315, 41.6
555.0127, 41.5
556.533, 41.4
558.325, 41.3
560.9972, 41.2
563.1252, 41.1
568.4052, 41.0
577.1893, 40.9
582.8696, 40.8
585.1576, 40.7
590.2458, 40.6
593.6216, 40.5
598.2131, 40.4
601.3653, 40.3
607.0135, 40.2
612.9979, 40.1
615.8939, 40.0
621.3499, 39.9
626.0696, 39.8
627.7978, 39.7
634.7415, 39.6
640.518, 39.5
644.4543, 39.4
646.4538, 39.3
650.0539, 39.2
652.1819, 39.1
661.3181, 39.0
665.5901, 38.9
672.5819, 38.8
676.0706, 38.7
678.4544, 38.6
681.3984, 38.5
684.7102, 38.4
689.5582, 38.3
691.5884, 38.2
692.3905, 38.1
695.4625, 38.0
700.8544, 37.9
705.1263, 37.8
708.6466, 37.7
710.0385, 37.6
720.0388, 37.5
726.9988, 37.4
730.9025, 37.3
739.3986, 37.2
742.2949, 37.1
747.847, 37.0
755.6548, 36.9
758.9353, 36.8
768.2151, 36.7
768.9195, 36.6
774.7275, 36.5
778.0875, 36.4
789.2873, 36.3
798.1997, 36.2
801.6236, 36.1
806.1992, 36.0
812.824, 35.9
823.8477, 35.8
828.4879, 35.7
829.2239, 35.6
847.5917, 35.5
852.8558, 35.4
857.208, 35.3
864.5682, 35.2
870.0241, 35.1
874.9203, 35.0
879.3201, 34.9
884.4562, 34.8
893.8485, 34.7
899.4007, 34.6
915.0646, 34.5
929.4649, 34.4
949.1129, 34.3
955.9934, 34.2
959.4972, 34.1
973.7531, 34.0
976.7134, 33.9
982.1053, 33.8
991.0015, 33.7
998.2013, 33.6
1001.4173, 33.5
1005.2094, 33.4
1010.921, 33.3
1013.9293, 33.2
1017.7055, 33.1
1019.7858, 33.0
1022.8095, 32.9
1028.6015, 32.8
1049.0498, 32.7
1059.2897, 32.6
1070.3138, 32.5
1076.9541, 32.4
1084.9061, 32.3
1090.6339, 32.2
