commande, current 
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.004
0, 0.023
0, 0.016
0, 0.007
0, 0.01
0, 0.002
0, 0.0
0, 0.006
0, 0.012
0, 0.009
0, 0.006
0, 0.014
0, 0.005
0, 0.024
0, 0.024
0, 0.018
0, 0.011
0, 0.016
0, 0.018
0, 0.021
0, 0.023
0, 0.026
0, 0.026
0, 0.022
0, 0.03
0, 0.025
0, 0.025
0, 0.028
0, 0.029
0, 0.033
0, 0.034
0, 0.036
0, 0.032
0, 0.04
0, 0.039
0, 0.039
0, 0.038
0, 0.038
0, 0.043
0, 0.044
0, 0.043
0, 0.044
0, 0.04
0, 0.043
0, 0.049
0, 0.048
0, 0.048
0, 0.057
0, 0.056
0, 0.056
0, 0.053
0, 0.053
0, 0.055
0, 0.056
0, 0.061
0, 0.062
0, 0.062
0, 0.06
0, 0.059
0, 0.069
0, 0.067
0, 0.066
0, 0.071
0, 0.073
0, 0.075
0, 0.076
0, 0.078
0, 0.078
0, 0.086
0, 0.081
0, 0.085
0, 0.088
0, 0.081
0, 0.09
0, 0.088
0, 0.091
0, 0.103
0, 0.1
0, 0.103
0, 0.104
0, 3.049
0, 3.065
0, 3.051
0, 3.059
0, 3.054
0, 3.058
0, 3.057
0, 3.056
0, 3.067
0, 3.075
0, 3.086
0, 3.078
0, 3.076
0, 3.075
0, 3.075
0, 3.076
0, 3.081
0, 3.1
0, 3.098
0, 3.09
0, 3.107
0, 3.104
0, 3.102
0, 3.104
0, 3.092
0, 3.123
0, 3.118
0, 3.124
0, 3.128
0, 3.117
0, 3.12
0, 3.123
0, 3.123
0, 3.136
0, 3.14
0, 3.148
0, 3.132
0, 3.137
0, 3.143
0, 3.14
0, 3.146
0, 3.166
0, 3.154
0, 3.162
0, 3.159
0, 3.157
0, 3.169
0, 3.161
0, 3.164
0, 3.185
0, 3.178
0, 3.183
0, 3.173
0, 3.178
0, 3.177
0, 3.179
0, 3.181
0, 3.181
0, 3.207
0, 3.191
0, 3.202
0, 3.204
0, 3.204
0, 3.202
0, 3.202
0, 3.202
0, 3.216
0, 3.224
0, 3.214
0, 3.219
0, 3.207
0, 3.209
0, 3.225
0, 3.241
