commande, current 
0.0, 0.0
0.0, 0.0
-0.0001, 0.001
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
0.0, 0.0
-0.0005, 0.006
-0.0027, 0.024
-0.0016, -0.002
-0.0015, 0.0
-0.002, 0.008
-0.003, 0.018
-0.0027, 0.011
-0.0029, 0.012
-0.0023, 0.005
-0.0019, 0.005
-0.0025, 0.014
-0.0023, 0.013
-0.0021, 0.012
-0.0026, 0.019
-0.0026, 0.018
-0.003, 0.022
-0.0021, 0.012
-0.0016, 0.011
-0.0014, 0.018
-0.0017, 0.022
-0.0013, 0.02
-0.0021, 0.03
-0.0016, 0.022
-0.0016, 0.025
-0.0014, 0.024
-0.0012, 0.023
-0.0015, 0.029
-0.0015, 0.03
-0.0016, 0.031
-0.0015, 0.031
-0.0015, 0.033
-0.0009, 0.027
-0.0011, 0.033
-0.002, 0.042
-0.001, 0.043
-0.0009, 0.043
-0.0012, 0.047
0.0289, 0.781
0.0294, 0.781
0.0301, 0.801
0.0305, 0.804
0.0298, 0.813
0.0306, 0.812
0.0314, 0.812
0.0302, 0.825
0.0316, 0.831
0.0314, 0.84
0.0316, 0.836
0.0323, 0.841
0.0323, 0.845
0.0324, 0.853
0.0326, 0.855
0.0326, 0.861
0.0329, 0.87
0.0334, 0.873
0.0333, 0.877
0.0332, 0.886
0.034, 0.883
0.0338, 0.885
0.034, 0.893
0.0338, 0.901
0.0329, 0.918
0.0327, 0.918
0.0327, 0.92
0.0327, 0.922
0.0333, 0.921
0.0336, 0.925
0.034, 0.93
0.0341, 0.939
0.0335, 0.957
0.0343, 0.952
0.0343, 0.959
0.0338, 0.975
0.0337, 0.97
0.0346, 0.967
0.0343, 0.982
0.0348, 0.979
0.0346, 0.996
0.0351, 0.991
0.0344, 1.004
0.0349, 1.003
0.0348, 1.012
0.0352, 1.013
0.0361, 1.01
0.0363, 1.013
0.036, 1.03
0.0361, 1.034
0.0359, 1.039
0.0354, 1.049
0.0362, 1.046
0.0356, 1.054
0.0363, 1.057
0.0371, 1.054
0.0369, 1.067
0.0376, 1.068
0.0378, 1.072
0.0374, 1.082
0.0371, 1.087
