commande, current 
-0.0027, -0.001
-0.0028, 0.0
-0.0031, 0.001
-0.0019, 0.022
-0.0016, 0.015
-0.0016, 0.017
-0.0013, 0.039
-0.0014, 0.041
-0.0017, 0.042
-0.0005, 0.064
-0.0013, 0.065
0.0002, 0.052
0.0007, 0.081
-0.0001, 0.082
-0.0001, 0.085
0.0013, 0.101
0.001, 0.099
0.0014, 0.098
0.0019, 0.116
0.0017, 0.12
0.0019, 0.119
0.0024, 0.144
0.0021, 0.146
0.0024, 0.141
0.0029, 0.164
0.0031, 0.167
0.0042, 0.153
0.0045, 0.178
0.0046, 0.175
0.0044, 0.178
0.0046, 0.198
0.0049, 0.198
0.0047, 0.205
0.0066, 0.211
0.0055, 0.227
0.0063, 0.215
0.0066, 0.242
0.007, 0.236
0.0072, 0.235
0.0077, 0.257
0.0074, 0.26
0.0082, 0.254
0.008, 0.281
0.0078, 0.285
0.0085, 0.283
0.0088, 0.301
0.0092, 0.299
0.0092, 0.297
0.0096, 0.324
0.0103, 0.316
0.0102, 0.316
0.0106, 0.339
0.0105, 0.341
0.0107, 0.337
0.0114, 0.359
0.0116, 0.359
0.0112, 0.359
0.0121, 0.378
0.0125, 0.376
0.0118, 0.38
0.0128, 0.401
0.0124, 0.404
0.013, 0.404
0.0134, 0.421
0.0135, 0.422
0.0129, 0.425
0.0151, 0.436
0.0149, 0.434
0.0142, 0.439
0.0146, 0.465
0.0147, 0.463
0.0148, 0.459
0.0154, 0.481
0.0163, 0.474
0.0151, 0.485
0.0164, 0.502
0.0161, 0.505
0.016, 0.505
0.0165, 0.522
0.0167, 0.519
0.0169, 0.517
0.0171, 0.543
0.0172, 0.536
0.0172, 0.538
0.0178, 0.561
0.0186, 0.555
0.0177, 0.561
0.0179, 0.583
0.0182, 0.582
0.0186, 0.575
0.019, 0.594
0.0189, 0.599
0.0183, 0.603
0.0195, 0.618
0.0191, 0.62
0.0194, 0.619
0.0201, 0.634
0.02, 0.64
0.02, 0.638
0.02, 0.66
0.0202, 0.657
0.0202, 0.656
0.0208, 0.683
0.0213, 0.679
0.0209, 0.682
0.0218, 0.694
0.0211, 0.704
0.0213, 0.703
0.0217, 0.719
0.0215, 0.722
0.0215, 0.724
0.022, 0.744
0.0227, 0.741
0.0226, 0.742
0.0234, 0.755
0.0236, 0.752
0.0229, 0.76
0.0233, 0.781
0.0232, 0.78
0.0236, 0.777
0.0235, 0.802
0.0249, 0.793
0.0241, 0.799
0.0244, 0.823
0.0254, 0.812
0.0245, 0.824
0.0254, 0.842
0.0249, 0.84
0.0255, 0.837
0.0255, 0.863
0.0267, 0.851
0.0261, 0.857
0.0263, 0.878
0.0259, 0.875
0.0264, 0.878
0.0273, 0.896
0.0262, 0.902
0.027, 0.897
0.027, 0.917
0.0265, 0.922
0.0271, 0.92
0.0281, 0.937
0.0275, 0.941
0.0277, 0.94
0.0283, 0.958
0.0285, 0.959
0.029, 0.953
0.0284, 0.978
0.0284, 0.979
0.0283, 0.979
0.0288, 0.997
0.0291, 1.001
0.0298, 0.993
0.0297, 1.017
0.0291, 1.024
0.0299, 1.015
0.0297, 1.041
0.0302, 1.033
0.03, 1.033
0.0306, 1.059
0.0302, 1.062
0.0297, 1.064
0.0312, 1.077
0.0308, 1.08
0.0312, 1.076
0.0311, 1.1
0.0316, 1.095
0.0314, 1.097
0.0314, 1.122
0.0315, 1.12
0.0318, 1.114
0.0317, 1.139
0.0317, 1.144
0.0315, 1.141
0.0322, 1.164
0.0325, 1.161
0.0326, 1.162
0.0324, 1.185
0.0332, 1.178
0.0331, 1.178
0.0327, 1.207
0.0333, 1.198
0.0337, 1.196
0.0331, 1.226
0.0334, 1.224
0.0334, 1.223
0.0341, 1.242
0.0336, 1.243
0.0334, 1.246
0.034, 1.264
0.0347, 1.263
0.0346, 1.259
0.0361, 1.27
0.0351, 1.277
0.0344, 1.287
0.0351, 1.296
0.0358, 1.293
0.0364, 1.291
0.0354, 1.324
0.0357, 1.32
0.0358, 1.319
0.0361, 1.34
0.036, 1.342
0.0359, 1.342
0.0368, 1.352
0.0365, 1.358
0.0365, 1.361
0.037, 1.377
0.0364, 1.387
0.0374, 1.375
0.0375, 1.4
0.0377, 1.399
0.0374, 1.4
0.038, 1.417
0.0373, 1.424
0.0374, 1.423
0.0388, 1.433
0.0379, 1.438
0.0381, 1.435
0.0389, 1.459
0.0384, 1.466
0.0381, 1.467
0.039, 1.481
0.0392, 1.479
0.0397, 1.475
0.0386, 1.506
0.0394, 1.497
0.0392, 1.501
0.039, 1.524
0.0392, 1.523
0.0392, 1.521
0.0395, 1.54
0.0396, 1.539
0.0397, 1.539
0.0402, 1.561
0.0404, 1.562
0.0399, 1.566
0.0402, 1.582
0.0412, 1.576
0.0406, 1.578
0.041, 1.599
0.04, 1.608
0.0409, 1.601
0.0425, 1.615
0.041, 1.622
0.0417, 1.618
0.0416, 1.641
0.0421, 1.632
0.0411, 1.643
0.0416, 1.667
0.042, 1.665
0.0421, 1.658
0.0424, 1.681
0.042, 1.688
0.0428, 1.679
0.0429, 1.697
0.0429, 1.698
0.0437, 1.694
0.0432, 1.725
0.0429, 1.72
0.0432, 1.719
0.043, 1.743
0.0439, 1.73
0.043, 1.739
0.0438, 1.763
0.0437, 1.763
0.044, 1.76
0.0448, 1.775
0.0446, 1.776
0.044, 1.783
0.0442, 1.804
0.0448, 1.801
0.0455, 1.794
0.0453, 1.819
0.0456, 1.815
0.0451, 1.821
0.0458, 1.833
0.0451, 1.845
0.0455, 1.84
0.0463, 1.856
0.0457, 1.861
0.0456, 1.858
0.0461, 1.883
0.046, 1.881
0.0457, 1.885
0.0471, 1.896
0.0464, 1.906
0.0466, 1.897
0.0472, 1.917
0.0458, 1.931
0.0469, 1.921
0.0474, 1.938
0.0466, 1.947
0.0483, 1.929
0.0475, 1.959
0.0473, 1.964
0.0474, 1.959
0.0472, 1.986
0.0476, 1.979
0.0481, 1.981
0.0485, 1.996
0.048, 2.004
0.0483, 2.003
0.0486, 2.021
0.0486, 2.02
0.0487, 2.019
0.0491, 2.039
0.0487, 2.042
0.0486, 2.047
0.0492, 2.059
0.0497, 2.058
0.0484, 2.066
0.0496, 2.082
0.0498, 2.084
0.0491, 2.084
0.0502, 2.099
0.0496, 2.106
0.0497, 2.104
0.0499, 2.122
0.0495, 2.127
0.0505, 2.117
0.051, 2.134
0.0505, 2.138
0.0504, 2.141
0.0513, 2.16
0.0515, 2.157
0.0511, 2.154
0.0525, 2.17
