commande, current 
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.002
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.0
0, 0.023
0, 0.008
0, 0.005
0, 0.009
0, 0.006
0, 0.003
0, 0.014
0, 0.006
0, 0.015
0, 0.006
0, 0.008
0, 0.01
0, 0.014
0, 0.012
0, 0.018
0, 0.017
0, 0.024
0, 0.02
0, 0.023
0, 0.026
0, 0.025
0, 0.02
0, 0.03
0, 0.861
0, 0.86
0, 0.86
0, 0.873
0, 0.862
0, 0.884
0, 0.896
0, 0.901
0, 0.899
0, 0.9
0, 0.913
0, 0.91
0, 0.916
0, 0.912
0, 0.93
0, 0.935
0, 0.933
0, 0.939
0, 0.955
0, 0.948
0, 0.952
0, 0.953
0, 0.973
0, 0.976
0, 0.98
0, 0.983
0, 0.98
0, 0.987
0, 0.99
0, 1.002
0, 1.003
0, 1.011
0, 1.023
0, 1.017
0, 1.028
0, 1.03
0, 1.029
0, 1.034
0, 1.047
0, 1.062
0, 1.056
0, 1.058
0, 1.068
0, 1.066
0, 1.081
0, 1.081
0, 1.091
0, 1.092
0, 1.096
0, 1.095
0, 1.105
0, 1.117
0, 1.116
0, 1.125
0, 1.128
0, 1.139
0, 1.135
0, 1.142
0, 1.144
0, 1.154
0, 1.156
0, 1.156
0, 1.165
0, 1.169
0, 1.182
0, 1.181
0, 1.184
0, 1.187
0, 1.197
0, 1.2
0, 1.207
0, 1.213
0, 1.22
0, 1.227
0, 1.231
0, 1.231
0, 1.234
0, 1.255
0, 1.247
0, 1.254
0, 1.26
0, 1.523
0, 1.538
0, 1.537
0, 1.54
0, 1.536
0, 1.543
0, 1.536
0, 1.533
0, 1.54
0, 1.558
0, 1.568
0, 1.553
0, 1.557
0, 1.565
0, 1.563
0, 1.553
0, 1.563
0, 1.572
0, 1.574
0, 1.58
0, 1.571
0, 1.574
