Resistance, Temperature 
0.3411, 30.5
0.3884, 30.6
0.4366, 30.7
0.4848, 30.8
0.5347, 30.9
0.2508, 31.0
0.2802, 31.1
0.2703, 31.2
0.2713, 31.3
0.2661, 31.4
0.2609, 31.5
0.2593, 31.6
0.2597, 31.7
0.2617, 31.8
0.2638, 31.9
0.2672, 32.0
0.2702, 32.1
0.2737, 32.2
0.2779, 32.3
0.2816, 32.4
0.2857, 32.5
0.2894, 32.6
0.2918, 32.7
0.2941, 32.8
0.2769, 32.9
0.2714, 33.0
0.2631, 33.1
0.2601, 33.2
0.2621, 33.3
0.2653, 33.4
0.2665, 33.5
0.2682, 33.6
0.2711, 33.7
0.2738, 33.8
0.2764, 33.9
0.2797, 34.0
0.2834, 34.1
0.2879, 34.2
0.2911, 34.3
0.2953, 34.4
0.2979, 34.5
0.3104, 34.6
0.2945, 34.7
0.2844, 34.8
0.2778, 34.9
0.2723, 35.0
0.2675, 35.1
0.2683, 35.2
0.2704, 35.3
0.2728, 35.4
0.275, 35.5
0.2776, 35.6
0.2797, 35.7
0.2831, 35.8
0.2871, 35.9
0.2901, 36.0
0.2941, 36.1
0.2977, 36.2
0.3009, 36.3
0.3055, 36.4
0.2922, 36.5
0.2848, 36.6
0.2778, 36.7
0.2774, 36.8
0.2735, 36.9
0.2728, 37.0
0.2747, 37.1
0.2768, 37.2
0.2796, 37.3
0.2826, 37.4
0.2857, 37.5
0.2891, 37.6
0.2935, 37.7
0.2985, 37.8
0.3015, 37.9
0.3048, 38.0
0.3044, 38.1
0.2983, 38.2
0.2883, 38.3
0.2819, 38.4
0.2769, 38.5
0.2746, 38.6
0.2741, 38.7
0.2759, 38.8
0.2777, 38.9
0.2799, 39.0
0.2838, 39.1
0.2871, 39.2
0.2907, 39.3
0.2946, 39.4
0.2984, 39.5
0.3034, 39.6
0.3062, 39.7
0.3092, 39.8
0.2794, 39.9
0.2754, 40.0
0.2741, 40.1
0.2727, 40.2
0.2725, 40.3
0.2737, 40.4
0.2769, 40.5
0.2787, 40.6
0.2803, 40.7
0.2834, 40.8
0.2868, 40.9
0.2899, 41.0
0.2927, 41.1
0.2967, 41.2
0.3006, 41.3
0.3043, 41.4
0.3071, 41.5
0.3101, 41.6
0.2892, 41.7
0.2923, 41.8
0.2867, 41.9
0.2841, 42.0
0.2801, 42.1
0.2792, 42.2
0.2796, 42.3
0.2817, 42.4
