Time, Id, Iq, Ud, Uq, Temperature Measured, Temperature_LSTQ, Temperature_Model
1.0022, 3.003, 3.003, 1.0913, 1.0913, 29.6, 38.9, 27.0
2.4335, 2.994, 2.994, 1.1074, 1.1074, 29.7, 42.0, 27.2
2.8979, 3.492, 3.492, 1.2476, 1.2476, 29.8, 41.8, 27.2
3.4414, 3.998, 3.998, 1.3818, 1.3818, 29.9, 40.6, 27.3
3.8734, 4.503, 4.503, 1.5171, 1.5171, 30.0, 39.8, 27.4
4.0976, 5.002, 5.002, 1.6606, 1.6606, 30.1, 40.2, 27.5
4.3854, 5.511, 5.511, 1.7871, 1.7871, 30.2, 38.7, 27.6
4.6416, 5.999, 5.999, 1.939, 1.939, 30.3, 40.0, 27.6
4.9296, 5.505, 5.505, 1.7979, 1.7979, 30.4, 39.8, 27.7
5.169, 4.996, 4.996, 1.6743, 1.6743, 30.5, 41.7, 27.8
5.4254, 4.501, 4.501, 1.5254, 1.5254, 30.6, 40.8, 27.8
5.7137, 4.005, 4.005, 1.3872, 1.3872, 30.7, 41.0, 27.9
5.9535, 3.502, 3.502, 1.2451, 1.2451, 30.8, 41.0, 27.9
6.1934, 2.989, 2.989, 1.1201, 1.1201, 30.9, 44.3, 27.9
6.417, 3.497, 3.497, 1.2549, 1.2549, 31.0, 42.6, 28.0
6.6411, 4.001, 4.001, 1.3877, 1.3877, 31.1, 41.2, 28.0
6.8494, 4.499, 4.499, 1.5332, 1.5332, 31.2, 41.7, 28.1
7.041, 4.998, 4.998, 1.6772, 1.6772, 31.3, 41.9, 28.1
7.2337, 5.492, 5.492, 1.8262, 1.8262, 31.4, 42.7, 28.2
7.4094, 5.999, 5.999, 1.9512, 1.9512, 31.5, 41.0, 28.2
7.5696, 5.504, 5.504, 1.8096, 1.8096, 31.6, 40.9, 28.3
7.7613, 5.002, 5.002, 1.6836, 1.6836, 31.7, 42.4, 28.3
7.8894, 4.496, 4.496, 1.5415, 1.5415, 31.8, 42.7, 28.3
