Time, Id, Ud, Temperature Measured, Temperature Estimated
1.0024, 3.0, 1.103, 33.8, 41.0
2.9453, 3.0, 1.1011, 33.9, 40.7
3.3295, 3.497, 1.249, 34.0, 41.8
3.9692, 4.003, 1.3877, 34.1, 41.1
4.4173, 4.502, 1.5317, 34.2, 41.5
4.8656, 5.008, 1.6689, 34.3, 40.8
5.3453, 5.491, 1.8335, 34.4, 43.3
5.8253, 6.001, 1.9688, 34.5, 42.4
6.2733, 5.506, 1.8228, 34.6, 42.0
6.7374, 4.998, 1.6929, 34.7, 43.5
7.1375, 4.5, 1.5479, 34.8, 43.3
7.5051, 3.994, 1.4204, 34.9, 45.5
7.8895, 3.497, 1.272, 35.0, 45.0
8.2255, 3.0, 1.1147, 35.1, 42.9
8.5775, 3.5, 1.2749, 35.2, 45.3
8.8975, 4.009, 1.4048, 35.3, 43.0
9.2336, 4.503, 1.5439, 35.4, 42.7
9.6175, 5.003, 1.6895, 35.5, 43.0
9.9856, 5.503, 1.8423, 35.6, 43.8
10.3694, 6.0, 1.9897, 35.7, 44.2
10.8653, 5.51, 1.8398, 35.8, 43.4
11.4091, 5.001, 1.7144, 35.9, 45.5
11.7615, 4.496, 1.5742, 36.0, 46.3
12.1294, 3.994, 1.4312, 36.1, 46.8
12.5135, 3.505, 1.2725, 36.2, 44.7
12.8657, 3.004, 1.1255, 36.3, 44.5
13.2016, 3.499, 1.2822, 36.4, 46.4
13.4255, 4.009, 1.4131, 36.5, 44.0
13.6016, 4.506, 1.5591, 36.6, 44.3
13.7774, 5.003, 1.7104, 36.7, 45.0
13.9375, 5.495, 1.8657, 36.8, 46.1
14.1295, 6.001, 1.9946, 36.9, 44.5
14.3056, 5.507, 1.853, 37.0, 44.7
14.6898, 5.002, 1.7148, 37.1, 45.5
14.8974, 4.505, 1.5693, 37.2, 45.4
15.1054, 3.999, 1.4297, 37.3, 46.4
15.2975, 3.506, 1.2749, 37.4, 45.0
15.4895, 2.999, 1.1357, 37.5, 46.4
15.6814, 3.496, 1.2871, 37.6, 47.2
15.9054, 3.999, 1.4287, 37.7, 46.3
16.1452, 4.506, 1.5679, 37.8, 45.2
