Time, Id, Iq, Ud, Uq, Velocity, Temperature, Position
1.0009, 0.004, 0.006, -0.0234, 0.0361, 0.102, 25.7, 0.11
1.0019, 0.003, -0.512, -0.0518, -0.2979, 0.102, 25.7, 0.11
1.0029, 0.0, -0.559, -0.0469, -0.2861, 0.0, 25.7, 0.11
1.0039, 0.004, -0.565, -0.0537, -0.2979, -0.46, 25.7, 0.1
1.0049, 0.008, -0.574, -0.0664, -0.2949, -1.227, 25.7, 0.1
1.0059, 0.004, -0.585, -0.0811, -0.2891, -1.79, 25.7, 0.1
1.0069, -0.004, -0.59, -0.0762, -0.2832, -1.483, 25.7, 0.1
1.0079, 0.0, -0.602, -0.0879, -0.2744, -0.818, 25.7, 0.1
1.0089, -0.001, -0.605, -0.082, -0.2822, -0.153, 25.7, 0.1
1.0099, -0.001, -0.611, -0.0879, -0.2949, 0.46, 25.7, 0.1
1.0109, 0.0, -0.622, -0.0771, -0.2979, 0.614, 25.7, 0.1
1.0119, 0.0, -0.63, -0.0752, -0.3145, 0.307, 25.7, 0.1
1.0129, 0.0, -0.639, -0.0732, -0.3145, -0.205, 25.7, 0.1
1.0139, 0.003, -0.646, -0.0801, -0.3125, -0.46, 25.7, 0.1
1.0149, 0.002, -0.661, -0.0781, -0.3047, -0.562, 25.7, 0.1
1.0159, -0.001, -0.666, -0.0811, -0.3076, -0.46, 25.7, 0.1
1.0169, -0.005, -0.671, -0.0781, -0.3115, -0.205, 25.7, 0.1
1.0179, 0.001, -0.685, -0.082, -0.3105, 0.051, 25.7, 0.1
1.0189, 0.002, -0.688, -0.083, -0.3174, 0.205, 25.7, 0.1
1.0199, 0.002, -0.691, -0.082, -0.334, 0.102, 25.7, 0.1
1.0209, 0.003, -0.696, -0.0801, -0.3418, -0.102, 25.7, 0.1
1.0219, -0.001, -0.705, -0.0752, -0.3389, -0.205, 25.7, 0.1
1.0229, -0.004, -0.715, -0.0713, -0.335, -0.256, 25.7, 0.1
1.0239, 0.001, -0.717, -0.0781, -0.3438, -0.307, 25.7, 0.1
1.0249, -0.003, -0.723, -0.0762, -0.3447, -0.307, 25.7, 0.1
1.0259, 0.002, -0.737, -0.0859, -0.3359, -0.153, 25.7, 0.1
1.0269, -0.002, -0.74, -0.0771, -0.3438, -0.153, 25.7, 0.1
