Time, Id, Iq, Ud, Uq, Velocity, Temperature, Position
1.0009, 0.0, -0.004, -0.0508, 0.0098, 0.0, 25.5, -0.0
1.0019, -0.008, -0.519, 0.0322, -0.3193, 0.0, 25.5, -0.0
1.0029, -0.008, -0.546, 0.0674, -0.3506, -0.102, 25.5, -0.0
1.0039, 0.001, -0.571, 0.0586, -0.3418, -0.92, 25.5, -0.01
1.0049, 0.0, -0.582, 0.0566, -0.3398, -2.045, 25.5, -0.01
1.0059, 0.003, -0.588, 0.0557, -0.3281, -2.812, 25.5, -0.01
1.0069, 0.007, -0.599, 0.0488, -0.3076, -3.017, 25.5, -0.01
1.0079, 0.002, -0.605, 0.0488, -0.2949, -2.352, 25.5, -0.01
1.0089, 0.0, -0.608, 0.0518, -0.2988, -1.278, 25.5, -0.02
1.0099, -0.004, -0.616, 0.0566, -0.2988, -0.358, 25.5, -0.01
1.0109, -0.002, -0.625, 0.0596, -0.3135, 0.205, 25.5, -0.01
1.0119, 0.003, -0.626, 0.0527, -0.3389, 0.358, 25.5, -0.01
1.0129, 0.004, -0.636, 0.0537, -0.3447, 0.051, 25.5, -0.01
1.0139, -0.003, -0.645, 0.0615, -0.3486, -0.409, 25.5, -0.02
1.0149, 0.0, -0.654, 0.0518, -0.3506, -1.023, 25.5, -0.02
1.0159, -0.002, -0.661, 0.0527, -0.3496, -1.381, 25.5, -0.02
1.0169, 0.0, -0.675, 0.0469, -0.3428, -1.483, 25.5, -0.02
1.0179, 0.004, -0.674, 0.041, -0.3486, -1.329, 25.5, -0.02
1.0189, -0.001, -0.688, 0.0459, -0.3418, -1.023, 25.5, -0.02
1.0199, 0.001, -0.691, 0.0352, -0.3486, -0.972, 25.5, -0.02
1.0209, 0.004, -0.701, 0.0322, -0.3564, -0.818, 25.5, -0.02
1.0219, 0.002, -0.699, 0.0293, -0.3701, -0.665, 25.5, -0.02
1.0229, 0.004, -0.718, 0.0264, -0.3652, -0.869, 25.5, -0.03
1.0239, 0.0, -0.719, 0.0264, -0.3779, -1.125, 25.5, -0.03
1.0249, 0.007, -0.727, 0.0166, -0.3838, -1.329, 25.5, -0.03
1.0259, 0.0, -0.736, 0.0205, -0.3828, -1.483, 25.5, -0.03
1.0269, 0.002, -0.737, 0.0127, -0.3936, -1.534, 25.5, -0.03
1.0279, 0.0, -0.748, 0.0166, -0.3906, -1.534, 25.5, -0.03
1.0289, 0.0, -0.754, 0.0107, -0.3955, -1.534, 25.7, -0.03
1.0299, 0.0, -0.761, 0.0068, -0.4004, -1.432, 25.7, -0.04
1.0309, -0.001, -0.764, 0.0088, -0.4072, -1.278, 25.7, -0.04
1.0319, 0.006, -0.775, -0.0068, -0.4072, -1.381, 25.7, -0.04
1.0329, 0.0, -0.778, 0.001, -0.416, -1.483, 25.7, -0.04
1.0339, 0.005, -0.782, -0.0059, -0.4258, -1.534, 25.7, -0.04
1.0349, 0.003, -0.784, -0.0098, -0.4355, -1.636, 25.7, -0.04
1.0359, 0.0, -0.799, -0.0078, -0.4297, -1.79, 25.7, -0.05
1.0369, -0.003, -0.795, -0.0059, -0.4473, -1.841, 25.7, -0.05
1.0379, 0.001, -0.812, -0.0166, -0.4395, -2.096, 25.7, -0.05
1.0389, 0.003, -0.813, -0.0215, -0.4482, -2.25, 25.7, -0.05
1.0399, 0.003, -0.821, -0.0293, -0.4551, -2.454, 25.7, -0.06
1.0409, 0.003, -0.825, -0.0361, -0.4766, -2.71, 25.7, -0.06
1.0419, -0.002, -0.835, -0.0322, -0.4795, -2.915, 25.7, -0.06
