Time, Id, Iq, Ud, Uq, Velocity, Temperature, Position
5.0009, 0.0, -0.003, -0.0088, 0.0439, 0.0, 29.2, 0.11
5.0019, 0.0, 0.007, -0.0049, 0.0488, 0.0, 29.2, 0.11
5.0029, 0.0, 0.008, -0.0107, 0.0674, 0.0, 29.2, 0.11
5.0039, 0.0, 0.027, -0.0078, 0.0557, 0.0, 29.2, 0.11
5.0049, 0.0, 0.036, -0.0068, 0.0615, 0.0, 29.2, 0.11
5.0059, -0.004, 0.046, -0.0029, 0.0684, 0.0, 29.2, 0.11
5.0069, 0.0, 0.068, -0.0117, 0.0518, 0.0, 29.2, 0.11
5.0079, 0.003, 0.067, -0.0166, 0.0771, 0.0, 29.2, 0.11
5.0089, -0.003, 0.076, -0.0078, 0.082, 0.0, 29.2, 0.11
5.0099, 0.0, 0.09, -0.0068, 0.083, 0.0, 29.2, 0.11
5.0109, 0.008, 0.102, -0.0215, 0.085, 0.051, 29.2, 0.11
5.0119, -0.001, 0.107, -0.0117, 0.0908, 0.153, 29.2, 0.11
5.0129, -0.002, 0.12, -0.0156, 0.0957, 0.051, 29.2, 0.11
5.0139, -0.002, 0.13, -0.0107, 0.1006, 0.0, 29.2, 0.11
5.0149, 0.0, 0.142, -0.0127, 0.0996, 0.0, 28.7, 0.11
5.0159, 0.01, 0.146, -0.0293, 0.1113, 0.0, 28.7, 0.11
5.0169, -0.005, 0.163, -0.0059, 0.1025, 0.051, 28.7, 0.11
5.0179, 0.005, 0.175, -0.0195, 0.1113, 0.153, 28.7, 0.11
5.0189, 0.005, 0.181, -0.0215, 0.1182, 0.051, 28.7, 0.11
5.0199, 0.003, 0.193, -0.0195, 0.1162, 0.0, 28.7, 0.11
5.0209, -0.001, 0.196, -0.0156, 0.1318, 0.051, 28.7, 0.11
5.0219, 0.006, 0.213, -0.0264, 0.125, 0.153, 28.7, 0.11
5.0229, 0.006, 0.214, -0.0195, 0.1426, 0.051, 28.7, 0.11
5.0239, 0.003, 0.223, -0.0186, 0.1533, 0.0, 28.7, 0.11
5.0249, 0.005, 0.234, -0.0234, 0.1562, 0.0, 28.7, 0.11
5.0259, 0.002, 0.253, -0.0205, 0.1504, 0.051, 28.7, 0.11
5.0269, 0.0, 0.261, -0.0176, 0.1582, 0.153, 28.7, 0.11
5.0279, -0.001, 0.271, -0.0146, 0.1641, 0.0, 28.7, 0.11
5.0289, 0.0, 0.279, -0.0146, 0.1689, 0.0, 28.7, 0.11
5.0299, -0.005, 0.292, -0.0078, 0.168, 0.051, 28.7, 0.11
5.0309, -0.001, 0.296, -0.0166, 0.1875, 0.153, 28.7, 0.11
5.0319, 0.001, 0.304, -0.0186, 0.1914, 0.051, 28.7, 0.11
5.0329, 0.0, 0.321, -0.0166, 0.1885, 0.0, 28.7, 0.11
5.0339, 0.0, 0.329, -0.0156, 0.1982, 0.051, 28.7, 0.11
5.0349, 0.0, 0.34, -0.0127, 0.2031, 0.153, 28.7, 0.11
5.0359, -0.002, 0.349, -0.0088, 0.209, 0.051, 28.7, 0.11
5.0369, 0.001, 0.36, -0.0166, 0.209, 0.102, 28.7, 0.11
5.0379, 0.0, 0.368, -0.0146, 0.2139, 0.153, 28.7, 0.11
5.0389, 0.0, 0.375, -0.0186, 0.2236, 0.051, 28.7, 0.11
5.0399, 0.0, 0.39, -0.0156, 0.2246, 0.0, 28.7, 0.11
5.0409, -0.003, 0.398, -0.0127, 0.2334, 0.0, 28.7, 0.11
5.0419, 0.005, 0.409, -0.0254, 0.2354, 0.051, 28.7, 0.11
5.0429, 0.0, 0.417, -0.0166, 0.2471, 0.153, 28.7, 0.11
5.0439, -0.003, 0.427, -0.0107, 0.2461, 0.0, 28.7, 0.11
5.0449, 0.002, 0.439, -0.0205, 0.2529, 0.051, 28.7, 0.11
5.0459, -0.005, 0.448, -0.0088, 0.2559, 0.153, 28.7, 0.11
5.0469, 0.0, 0.462, -0.0088, 0.2637, 0.051, 28.7, 0.11
5.0479, -0.002, 0.468, -0.0098, 0.2676, 0.051, 28.7, 0.11
5.0489, -0.004, 0.478, -0.0059, 0.2754, 0.153, 28.7, 0.11
5.0499, 0.007, 0.487, -0.0254, 0.2754, 0.051, 28.7, 0.11
5.0509, 0.0, 0.501, -0.0146, 0.2822, 0.102, 28.7, 0.11
5.0519, 0.001, 0.51, -0.0166, 0.2842, 0.153, 28.7, 0.11
5.0529, 0.0, 0.519, -0.0166, 0.2949, 0.051, 28.7, 0.11
5.0539, -0.003, 0.533, -0.0088, 0.2891, 0.051, 28.7, 0.11
5.0549, -0.002, 0.538, -0.0127, 0.2969, 0.153, 28.7, 0.11
5.0559, -0.001, 0.55, -0.0156, 0.2979, 0.051, 28.7, 0.11
5.0569, 0.003, 0.555, -0.0244, 0.3105, 0.051, 28.7, 0.11
5.0579, -0.001, 0.567, -0.0088, 0.3125, 0.153, 28.7, 0.11
5.0589, -0.002, 0.581, -0.0078, 0.3154, 0.051, 28.7, 0.11
5.0599, 0.005, 0.582, -0.0205, 0.333, 0.051, 28.7, 0.11
5.0609, 0.007, 0.6, -0.0137, 0.3301, 0.153, 28.7, 0.11
5.0619, 0.002, 0.604, -0.0137, 0.3389, 0.102, 28.7, 0.11
5.0629, 0.003, 0.616, -0.0186, 0.3398, 0.256, 28.7, 0.11
5.0639, -0.005, 0.628, -0.002, 0.3398, 0.205, 28.7, 0.11
5.0649, -0.002, 0.637, -0.0098, 0.3477, 0.102, 28.7, 0.11
5.0659, -0.001, 0.654, -0.0068, 0.3467, 0.256, 28.7, 0.11
5.0669, 0.001, 0.66, -0.0117, 0.3516, 0.205, 28.7, 0.11
5.0679, 0.002, 0.672, -0.0117, 0.3574, 0.102, 28.7, 0.11
5.0689, 0.005, 0.678, -0.0176, 0.3643, 0.307, 28.7, 0.11
5.0699, 0.0, 0.688, -0.0117, 0.3779, 0.46, 28.7, 0.11
5.0709, 0.001, 0.702, -0.0127, 0.373, 0.409, 28.7, 0.11
5.0719, 0.0, 0.71, -0.0088, 0.3789, 0.562, 28.7, 0.11
5.0729, 0.001, 0.72, -0.0127, 0.3838, 0.562, 28.7, 0.12
5.0739, 0.005, 0.726, -0.0195, 0.3887, 0.614, 28.7, 0.12
5.0749, 0.0, 0.743, -0.0068, 0.3828, 0.614, 28.7, 0.12
5.0759, 0.003, 0.745, -0.0166, 0.3975, 0.562, 28.7, 0.12
5.0769, 0.008, 0.765, -0.0098, 0.3936, 0.409, 28.7, 0.12
5.0779, -0.001, 0.77, -0.0049, 0.3955, 0.562, 28.7, 0.12
5.0789, -0.001, 0.783, -0.0049, 0.3926, 0.562, 28.7, 0.12
5.0799, -0.005, 0.787, 0.0059, 0.4072, 0.614, 28.7, 0.12
5.0809, 0.0, 0.8, -0.001, 0.4072, 0.562, 28.7, 0.12
5.0819, -0.003, 0.809, 0.0, 0.4131, 0.409, 28.7, 0.12
5.0829, -0.003, 0.821, 0.002, 0.4131, 0.562, 28.7, 0.12
5.0839, 0.005, 0.828, -0.0107, 0.415, 0.511, 28.7, 0.12
5.0849, 0.001, 0.834, -0.002, 0.4268, 0.409, 28.7, 0.12
5.0859, 0.0, 0.847, 0.002, 0.4326, 0.511, 28.7, 0.12
5.0869, 0.001, 0.86, 0.0, 0.4326, 0.409, 28.7, 0.12
5.0879, -0.004, 0.869, 0.0088, 0.4355, 0.562, 28.7, 0.12
5.0889, 0.0, 0.876, 0.0039, 0.4434, 0.562, 28.7, 0.12
5.0899, -0.003, 0.895, 0.0068, 0.4346, 0.562, 29.8, 0.12
5.0909, 0.0, 0.898, -0.002, 0.4492, 0.409, 29.8, 0.13
5.0919, -0.004, 0.906, 0.0059, 0.4502, 0.562, 29.8, 0.13
5.0929, 0.007, 0.921, -0.0107, 0.4492, 0.562, 29.8, 0.13
5.0939, 0.004, 0.926, -0.0107, 0.46, 0.614, 29.8, 0.13
5.0949, -0.003, 0.946, -0.002, 0.4482, 0.614, 29.8, 0.13
5.0959, -0.004, 0.949, 0.001, 0.4609, 0.614, 29.8, 0.13
5.0969, 0.004, 0.961, -0.0107, 0.4639, 0.614, 29.8, 0.13
5.0979, 0.0, 0.967, -0.0068, 0.4775, 0.665, 29.8, 0.13
5.0989, 0.001, 0.981, -0.0039, 0.4795, 0.767, 29.8, 0.13
5.0999, 0.0, 0.989, -0.0049, 0.4814, 0.716, 29.8, 0.13
5.1009, 0.003, 1.001, -0.0088, 0.4805, 0.818, 29.8, 0.13
